#b    SzSz@nn        err_SzSz@nn    Z(mln)
1.0     -0.20967E-01     0.29204E-04   290
1.11    -0.23866E-01     0.77723E-04   234
1.25    -0.27418E-01     0.32882E-04   170
1.5     -0.33384E-01     0.32745E-03   2
1.75    -0.39489E-01     0.45E-04   105
2.0     -0.44717E-01     0.48346E-04   92
2.25    -0.49624E-01     0.5E-04   69
2.5     -0.54362E-01     0.5E-04   53
3.0     -0.62286E-01     0.61087E-04   28
4.0     -0.74144E-01     0.50893E-04   30
5.0     -0.81868E-01     0.50938E-04   21
6.0     -0.86630E-01     0.42082E-04   15
7.0     -0.89038E-01     0.72686E-04   6.6
7.5     -0.90037E-01     0.73323E-04   5.9
