#b    SzSz@nn        err_SzSz@nn    Z(mln)
1    -0.19872E-01     0.26748E-04   303
1.11 -0.22565E-01     0.32048E-04   214
1.25 -0.25810E-01     0.35564E-04   181
1.5  -0.31483E-01     0.28843E-04   180
1.75 -0.36657E-01     0.37610E-04   118
2    -0.41528E-01     0.36712E-04   125
2.25 -0.46108E-01     0.40777E-04   85
2.5  -0.50297E-01     0.35721E-04   93
3    -0.57556E-01     0.25312E-04   78
3.3  -0.61405E-01     0.35464E-04  52
3.5  -0.63940E-01     0.35791E-04   60
4.0  -0.69254E-01     0.28883E-04   64
4.3  -0.72122E-01     0.39613E-04   36
4.5  -0.73852E-01     0.30669E-04   54
5    -0.77449E-01     0.28749E-04   47
5.2  -0.78615E-01     0.43194E-04   17
6.0  -0.8194E-01      0.64581E-04   13
7.0  -0.83698E-01     0.72208E-04   6.3
7.5  -0.84225E-01     0.73773E-04   5.7
